id,text,annotations
124,"Возгорание произошло в административном здании по адресу: улица Хлобыстова, дом 2, неподалеку от станции «Выхино».","Возгорание O
произошло O
в O
административном O
здании O
по O
адресу O
: O
улица B-Street
Хлобыстова I-Street
, O
дом B-House
2 I-House
, O
неподалеку O
от O
станции O
« O
Выхино O
» O
. O"
125,"Сейчас здание дворца, имеющего статус памятника архитектуры российского регионального уровня, располагается по адресу Невский проспект, дом 41.","Сейчас O
здание O
дворца O
, O
имеющего O
статус O
памятника O
архитектуры O
российского O
регионального O
уровня O
, O
располагается O
по O
адресу O
Невский O
проспект B-Avenue
, O
дом B-House
41 I-House
. O"
126,"ЧП произошло по адресу Новоясеневский проспект, дом 1.","ЧП O
произошло O
по O
адресу O
Новоясеневский O
проспект B-Avenue
, O
дом B-House
1 I-House
. O"
127,"Булгаков"", расположенному по адресу: проспект Мира, дом 9, строение 1, был присвоен статус объекта культурного наследия регионального значения, поясняется в пресс-релизе департамента.","Булгаков O
"" O
, O
расположенному O
по O
адресу O
: O
проспект B-Avenue
Мира I-Avenue
, O
дом B-House
9 I-House
, O
строение B-Building
1 I-Building
, O
был O
присвоен O
статус O
объекта O
культурного O
наследия O
регионального O
значения O
, O
поясняется O
в O
пресс-релизе O
департамента O
. O"
128,"Кроме того, на прошлой неделе жилищные инспекторы, проверявшие в Королеве жилой дом по адресу улица Мичурина, дом 27, корпус 1 выявили, что вместо подвала у этого дома - настоящая квартира.","Кроме O
того O
, O
на O
прошлой O
неделе O
жилищные O
инспекторы O
, O
проверявшие O
в O
Королеве O
жилой O
дом O
по O
адресу O
улица B-Street
Мичурина I-Street
, O
дом B-House
27 I-House
, O
корпус B-Building
1 I-Building
выявили I-Building
, O
что O
вместо O
подвала O
у O
этого O
дома O
- O
настоящая O
квартира. O"
129,"""Во втором квартале 2012 года был заселен жилой дом по адресу Ленинградский проспект, владение 66, корпус 2"", - добавляется в пресс-релизе.",""" O
Во O
втором O
квартале O
2012 O
года O
был O
заселен O
жилой O
дом O
по O
адресу O
Ленинградский O
проспект B-Avenue
, O
владение O
66 O
, O
корпус B-Building
2 I-Building
"" O
, O
- O
добавляется O
в O
пресс-релизе O
. O"
130,"Кроме того, 29 ноября 2012 года было завершено строительство жилого дома по адресу: улица Генерала Белобородова, владение 20-26, корпуса 29-30, где получат квартиры 69 дольщиков, добавляется в материалах ведомства.","Кроме O
того O
, O
29 O
ноября O
2012 O
года O
было O
завершено O
строительство O
жилого O
дома O
по O
адресу O
: O
улица B-Street
Генерала I-Street
Белобородова I-Street
, O
владение O
20 O
- O
26 O
, O
корпуса O
29 O
- O
30 O
, O
где O
получат O
квартиры O
69 O
дольщиков O
, O
добавляется O
в O
материалах O
ведомства. O"
131,"В конце 2013 года планируется завершить строительные работы по адресу: улица Народного Ополчения, владение 33, корпус 4.","В O
конце O
2013 O
года O
планируется O
завершить O
строительные O
работы O
по O
адресу O
: O
улица B-Street
Народного I-Street
Ополчения I-Street
, O
владение O
33 O
, O
корпус B-Building
4 I-Building
. O"
132,"В среду Леонид Николаев явился по адресу Невский проспект, дом 84/86 в 199-й судебный участок, где мировой судья должен был рассмотреть сразу два дела об административном нарушении - по статьям «Участие в несанкционированной акции» и «Неповиновение законному распоряжению сотрудника милиции».","В O
среду O
Леонид O
Николаев O
явился O
по O
адресу O
Невский O
проспект B-Avenue
, O
дом B-House
84/86 I-House
в I-House
199 I-House
- O
й O
судебный O
участок O
, O
где O
мировой O
судья O
должен O
был O
рассмотреть O
сразу O
два O
дела O
об O
административном O
нарушении O
- O
по O
статьям O
« O
Участие O
в O
несанкционированной O
акции O
» O
и O
« O
Неповиновение O
законному O
распоряжению O
сотрудника O
милиции O
» O
. O"
133,"Мероприятие состоится по адресу Лиговский проспект, дом 53 в баре Fish Fabrique.","Мероприятие O
состоится O
по O
адресу O
Лиговский O
проспект B-Avenue
, O
дом B-House
53 I-House
в I-House
баре I-House
Fish I-House
Fabrique. O"
134,"Накануне днем в Петербурге горел жилой дом по адресу Богатырский проспект, 52, корпус 1.","Накануне O
днем O
в O
Петербурге O
горел O
жилой O
дом O
по O
адресу O
Богатырский O
проспект B-Avenue
, O
52 O
, O
корпус B-Building
1 I-Building
. O"
135,"На востоке столицы в ресторане быстрого питания McDonald's по адресу Свободный проспект, дом 35 произошел конфликт между двумя мужчинами.","На O
востоке O
столицы O
в O
ресторане O
быстрого O
питания O
McDonald O
' O
s O
по O
адресу O
Свободный O
проспект B-Avenue
, O
дом B-House
35 I-House
произошел I-House
конфликт I-House
между I-House
двумя O
мужчинами. O"
136,"Во вторник около 19.00 в оперативно-дежурную смену центра управления в кризисных ситуациях поступило сообщение о пожаре в офисе фотостудии по адресу: Кутузовский проспект, дом 12.","Во O
вторник O
около O
19 O
. O
00 O
в O
оперативно-дежурную O
смену O
центра O
управления O
в O
кризисных O
ситуациях O
поступило O
сообщение O
о O
пожаре O
в O
офисе O
фотостудии O
по O
адресу O
: O
Кутузовский O
проспект B-Avenue
, O
дом B-House
12 I-House
. O"
137,"Ранее наше интернет-издание сообщало, что один человек пострадал при пожаре, который произошел в фотостудии по адресу: Кутузовский проспект, дом 12 в подмосковном Домодедове.","Ранее O
наше O
интернет-издание O
сообщало O
, O
что O
один O
человек O
пострадал O
при O
пожаре O
, O
который O
произошел O
в O
фотостудии O
по O
адресу O
: O
Кутузовский O
проспект B-Avenue
, O
дом B-House
12 I-House
в I-House
подмосковном I-House
Домодедове. I-House"
138,"«Третьего июля в 05:40 мск в Подольске с Привокзальной площади с огнестрельным травматическим ранением шеи госпитализирован мужчина 1982 года рождения, проживающий по адресу: Москва, проспект Вернадского, дом №33, квартира, неработающий», - цитирует издание представителя ГУ МВД по Московской области.","« O
Третьего O
июля O
в O
05 O
: O
40 O
мск O
в O
Подольске O
с O
Привокзальной O
площади O
с O
огнестрельным O
травматическим O
ранением O
шеи O
госпитализирован O
мужчина O
1982 O
года O
рождения O
, O
проживающий O
по O
адресу O
: O
Москва O
, O
проспект B-Avenue
Вернадского I-Avenue
, O
дом O
№ O
33 O
, O
квартира B-Flat
, O
неработающий O
» O
, O
- O
цитирует O
издание O
представителя O
ГУ O
МВД O
по O
Московской O
области. O"
139,"Информация о пожаре по адресу: Солнцевский проспект, дом 7, корпус 1 поступила в 20:50.","Информация O
о O
пожаре O
по O
адресу O
: O
Солнцевский O
проспект B-Avenue
, O
дом B-House
7 I-House
, O
корпус B-Building
1 I-Building
поступила I-Building
в I-Building
20 I-Building
: O
50 O
. O"
140,"В Хамовниках проведут капитальный ремонт многоквартирного дома 1963 года постройки, расположенного по адресу Комсомольский проспект, дом 27а.","В O
Хамовниках O
проведут O
капитальный O
ремонт O
многоквартирного O
дома O
1963 O
года O
постройки O
, O
расположенного O
по O
адресу O
Комсомольский O
проспект B-Avenue
, O
дом B-House
27а I-House
. O"
141,"Как сообщил «Интерфаксу» в воскресенье источник вправоохранительных органах, 17 июня в 20:50 по адресу Мичуринский проспект, владение 6, в результате несчастного случая упал с 14-го этажа строящегося дома строитель из Белоруссии, 1985 года рождения.","Как O
сообщил O
« O
Интерфаксу O
» O
в O
воскресенье O
источник O
вправоохранительных O
органах O
, O
17 O
июня O
в O
20 O
: O
50 O
по O
адресу O
Мичуринский O
проспект B-Avenue
, O
владение O
6 O
, O
в O
результате O
несчастного O
случая O
упал O
с O
14 O
- O
го O
этажа O
строящегося O
дома O
строитель O
из O
Белоруссии O
, O
1985 O
года O
рождения. O"
142,"«В субботу вечером на цокольном этаже 25-этажного строящегосяпанельного жилого дома по адресу: Мичуринский проспект, владение 74произошло возгорание утеплителя и пенопласта», - рапортовало МЧС.","« O
В O
субботу O
вечером O
на O
цокольном O
этаже O
25 O
- O
этажного O
строящегосяпанельного O
жилого O
дома O
по O
адресу O
: O
Мичуринский O
проспект B-Avenue
, O
владение O
74произошло O
возгорание O
утеплителя O
и O
пенопласта O
» O
, O
- O
рапортовало O
МЧС. O"
143,"Таким образом, дизайнер оштрафован на 56 миллионов рублей Петербургским районным судом, так как дом, расположенный по адресу: Каменоостровский проспект, 57, относится к памятникам культуры и истории: он построен в 1910 году для купцов Агафоновых.","Таким O
образом O
, O
дизайнер O
оштрафован O
на O
56 O
миллионов O
рублей O
Петербургским O
районным O
судом O
, O
так O
как O
дом O
, O
расположенный O
по O
адресу O
: O
Каменоостровский O
проспект B-Avenue
, O
57 O
, O
относится O
к B-Building
памятникам I-Building
культуры I-Building
и I-Building
истории I-Building
: O
он O
построен O
в O
1910 O
году O
для O
купцов O
Агафоновых. O"
144,"Ереванский Дом русской книги будет располагаться в самом центре города, прямо напротив здания Театра оперы и балета, по адресу проспект Маштоца 37.","Ереванский O
Дом O
русской O
книги O
будет O
располагаться O
в O
самом O
центре O
города O
, O
прямо O
напротив O
здания O
Театра O
оперы O
и O
балета O
, O
по O
адресу O
проспект B-Avenue
Маштоца I-Avenue
37 I-Avenue
. O"
145,"Пожар в здании по адресу: Лиговский проспект, 50, корпус 3, возник ближе к 16:00.","Пожар O
в O
здании O
по O
адресу O
: O
Лиговский O
проспект B-Avenue
, O
50 O
, O
корпус B-Building
3 I-Building
, O
возник O
ближе O
к B-Building
16 I-Building
: O
00 O
. O"
146,"Столичные власти решили предоставить религиозной организации - Московское общество сознания Кришны земельный участок площадью около 1,05 га по адресу: Москва, Ленинградский проспект, владение 39, на условиях срочного безвозмездного пользования на период строительства в 2003-2004 годах культового сооружения и последующей его эксплуатации с оформлением в дальнейшем земельных отношений в установленном порядке.","Столичные O
власти O
решили O
предоставить O
религиозной O
организации O
- O
Московское O
общество O
сознания O
Кришны O
земельный O
участок O
площадью O
около O
1 O
, O
05 O
га O
по O
адресу O
: O
Москва O
, O
Ленинградский O
проспект B-Avenue
, O
владение O
39 O
, O
на O
условиях O
срочного O
безвозмездного O
пользования O
на O
период O
строительства O
в O
2003 O
- O
2004 O
годах O
культового O
сооружения O
и O
последующей O
его O
эксплуатации O
с O
оформлением O
в O
дальнейшем O
земельных O
отношений O
в O
установленном O
порядке. O"
147,"В центре столицы произошел пожар в здании Московского горного института, расположенного по адресу: Ленинский проспект, дом 6, неподалеку от станции метро «Октябрьская».","В O
центре O
столицы O
произошел O
пожар O
в O
здании O
Московского O
горного O
института O
, O
расположенного O
по O
адресу O
: O
Ленинский O
проспект B-Avenue
, O
дом B-House
6 I-House
, O
неподалеку O
от O
станции O
метро O
« O
Октябрьская O
» O
. O"
148,"В центре Москвы в четверг днем произошел пожар в 17-этажном жилом доме, расположенном по адресу: Олимпийский проспект, дом 30.","В O
центре O
Москвы O
в O
четверг O
днем O
произошел O
пожар O
в O
17 O
- O
этажном O
жилом O
доме O
, O
расположенном O
по O
адресу O
: O
Олимпийский O
проспект B-Avenue
, O
дом B-House
30 I-House
. O"
149,"По его словам, в казино, расположенном по адресу Николоямской переулок, дом 2, в банке выигрыша отсутствовали деньги, обменный пункт функционировал без разрешительных документов, выявлены другие налоговые и финансовые нарушения, сообщает «Интерфакс».","По O
его O
словам O
, O
в O
казино O
, O
расположенном O
по O
адресу O
Николоямской O
переулок B-Lane
, O
дом B-House
2 I-House
, O
в O
банке O
выигрыша O
отсутствовали O
деньги O
, O
обменный O
пункт O
функционировал O
без O
разрешительных O
документов O
, O
выявлены O
другие O
налоговые O
и O
финансовые O
нарушения O
, O
сообщает O
« O
Интерфакс O
» O
. O"
150,"Затем, в ночь на 5 октября, были проведены оперативные мероприятия в казино Golden Palace Weekend, расположенном в помещении гостиницы «Отель Виноградово» по адресу: Дмитровское шоссе, владение 171.","Затем O
, O
в O
ночь O
на O
5 O
октября O
, O
были O
проведены O
оперативные O
мероприятия O
в O
казино O
Golden O
Palace O
Weekend O
, O
расположенном O
в O
помещении O
гостиницы O
« O
Отель O
Виноградово O
» O
по O
адресу O
: O
Дмитровское O
шоссе B-Highway
, O
владение O
171 O
. O"
151,"В центре Москвы произошел пожар в гаражном комплексе на территории воинской части, расположенной по адресу: Комсомольский проспект, дом 18 .","В O
центре O
Москвы O
произошел O
пожар O
в O
гаражном O
комплексе O
на O
территории O
воинской O
части O
, O
расположенной O
по O
адресу O
: O
Комсомольский O
проспект B-Avenue
, O
дом B-House
18 I-House
. O"
152,"Ранее сообщалось, что сигнал о пожаре по адресу: Ленинский проспект, дом 8/16 поступил в службу «01» в 22:33.","Ранее O
сообщалось O
, O
что O
сигнал O
о O
пожаре O
по O
адресу O
: O
Ленинский O
проспект B-Avenue
, O
дом B-House
8/16 I-House
поступил I-House
в I-House
службу I-House
« O
01 O
» O
в O
22 O
: O
33 O
. O"
153,"Завод будет расположен по адресу Волгоградский проспект, владение 42, корпусы 27, 11, рассказал [http://www.rian.ru/moscow/20091112/193150311.html РИА «Новости»] в четверг источник в городской администрации.","Завод O
будет O
расположен O
по O
адресу O
Волгоградский O
проспект B-Avenue
, O
владение O
42 O
, O
корпусы O
27 O
, O
11 O
, O
рассказал O
http O
: O
www. O
rian. O
ru O
moscow O
20091112/193150311 O
. O
html O
РИА O
« O
Новости O
» O
в O
четверг O
источник O
в O
городской O
администрации O
. O"
154,"Эти документы передаются либо в центральный офис по адресу: Балашиха, проспект Ленина, дом №73, телефон 8(495) 669-98-55, либо в представительства на местах (их адреса можно уточнить по указанному телефону).","Эти O
документы O
передаются O
либо O
в O
центральный O
офис O
по O
адресу O
: O
Балашиха O
, O
проспект B-Avenue
Ленина I-Avenue
, O
дом O
№ O
73 O
, O
телефон O
8 O
( O
495 O
) O
669 O
- O
98 O
- O
55 O
, O
либо O
в O
представительства O
на O
местах O
( O
их O
адреса O
можно O
уточнить O
по O
указанному O
телефону O
) O
. O"
155,"«Городская прокуратура выяснила, что неустановленные лица из числа сотрудников охраны бара, находящегося по адресу: Пролетарский проспект, дом № 10, действуя по предварительному сговору, не пустили в заведение и избили пятерых посетителей, одному из которых сломали челюсть, что расценивается как вред здоровью средней тяжести», — сообщает Щёлковская городская прокуратура.","« O
Городская O
прокуратура O
выяснила O
, O
что O
неустановленные O
лица O
из O
числа O
сотрудников O
охраны O
бара O
, O
находящегося O
по O
адресу O
: O
Пролетарский O
проспект B-Avenue
, O
дом O
№ O
10 O
, O
действуя O
по O
предварительному O
сговору O
, O
не O
пустили O
в O
заведение O
и O
избили O
пятерых O
посетителей O
, O
одному O
из O
которых O
сломали O
челюсть O
, O
что O
расценивается O
как O
вред O
здоровью O
средней O
тяжести O
» O
, O
— O
сообщает O
Щёлковская O
городская O
прокуратура O
. O"
156,"В 9.30 утра в дежурную часть УВД города поступило сообщение о взрыве на Уралмашевском рынке по адресу проспект Победы, дом 56.","В O
9 O
. O
30 O
утра O
в O
дежурную O
часть O
УВД O
города O
поступило O
сообщение O
о O
взрыве O
на O
Уралмашевском O
рынке O
по O
адресу O
проспект B-Avenue
Победы I-Avenue
, O
дом B-House
56 I-House
. O"
157,"Как сообщили в Главном управлении МЧС России по Петербургу, сигнал о возгорании по адресу Невский проспект, дом 4 поступил в 01:15 по московскому времени.","Как O
сообщили O
в O
Главном O
управлении O
МЧС O
России O
по O
Петербургу O
, O
сигнал O
о O
возгорании O
по O
адресу O
Невский O
проспект B-Avenue
, O
дом B-House
4 I-House
поступил I-House
в I-House
01 I-House
: O
15 O
по O
московскому O
времени. O"
158,"По предварительным данным, около 21:15 по адресу Ленинский проспект, дом 99 неизвестный выстрелил из травматического пистолета в голову мужчине.","По O
предварительным O
данным O
, O
около O
21 O
: O
15 O
по O
адресу O
Ленинский O
проспект B-Avenue
, O
дом B-House
99 I-House
неизвестный I-House
выстрелил I-House
из I-House
травматического O
пистолета O
в O
голову O
мужчине. O"
159,"«Сигнал о возгорании поступил в 12:02 из школы, расположенной по адресу Ломоносовский проспект, дом 13.","« O
Сигнал O
о O
возгорании O
поступил O
в O
12 O
: O
02 O
из O
школы O
, O
расположенной O
по O
адресу O
Ломоносовский O
проспект B-Avenue
, O
дом B-House
13 I-House
. O"
160,"В ходе реконструкции будут снесены жилой дом по адресу Нахимовский проспект, 54/26, а также дома NN 20, 22, 24 по улице Ивана Бабушкина.","В O
ходе O
реконструкции O
будут O
снесены O
жилой O
дом O
по O
адресу O
Нахимовский O
проспект B-Avenue
, O
54/26 O
, O
а O
также O
дома O
NN O
20 O
, O
22 O
, O
24 O
по O
улице O
Ивана O
Бабушкина. O"
161,"Мужчина несколько часов стоял на карнизе открытого окна в доме по адресу: проспект Вернадского, 91, корпус 2, и угрожал спрыгнуть.","Мужчина O
несколько O
часов O
стоял O
на O
карнизе O
открытого O
окна O
в O
доме O
по O
адресу O
: O
проспект B-Avenue
Вернадского I-Avenue
, O
91 O
, O
корпус B-Building
2 I-Building
, O
и O
угрожал O
спрыгнуть. O"
162,"Средства предназначены для финансирования и рефинансирования затрат на завершение строительства музыкального театра фольклора «Русская песня» и многофункционального делового центра, расположенного по адресу: город Москва, Олимпийский проспект, дом 14», - сообщила кредитная организация во вторник.","Средства O
предназначены O
для O
финансирования O
и O
рефинансирования O
затрат O
на O
завершение O
строительства O
музыкального O
театра O
фольклора O
« O
Русская O
песня O
» O
и O
многофункционального O
делового O
центра O
, O
расположенного O
по O
адресу O
: O
город B-City
Москва I-City
, O
Олимпийский O
проспект B-Avenue
, O
дом B-House
14 I-House
» O
, O
- O
сообщила O
кредитная O
организация O
во O
вторник. O"
163,"28 августа в Рязани по адресу Первомайский проспект, дом 40, корпус 1 откроет двери музей лоскутного шитья «Шили-были.","28 O
августа O
в O
Рязани O
по O
адресу O
Первомайский O
проспект B-Avenue
, O
дом B-House
40 I-House
, O
корпус B-Building
1 I-Building
откроет I-Building
двери I-Building
музей I-Building
лоскутного O
шитья O
« O
Шили-были O
. O"
164,"Как сообщает пресс-служба Люберецкого муниципального района, документы можно сдать до 10 сентября 2015 года по адресу: г.Люберцы, Октябрьский проспект дом 190, кабинет 224.","Как O
сообщает O
пресс-служба O
Люберецкого O
муниципального B-District
района I-District
, O
документы O
можно O
сдать O
до O
10 O
сентября O
2015 O
года O
по O
адресу O
: O
г. B-City
Люберцы I-City
, O
Октябрьский O
проспект B-Avenue
дом I-Avenue
190 I-Avenue
, O
кабинет O
224 O
. O"
165,"Как сообщает корреспондент «Подмосковье сегодня» Анна Пенкина, дом расположен по адресу: Московский проспект, 6.","Как O
сообщает O
корреспондент O
« O
Подмосковье O
сегодня O
» O
Анна O
Пенкина O
, O
дом O
расположен O
по O
адресу O
: O
Московский O
проспект B-Avenue
, O
6 O
. O"
166,"Как сообщает [http://newsmsk.com/article/18Sep2008/avtoserv_pogib.html NEWSmsk.com], этой ночью в Москве возник пожар и на территории гаражного комплекса по адресу проспект Вернадского, дом 10.","Как O
сообщает O
http O
: O
newsmsk. O
com O
article O
18Sep2008 O
avtoserv O
pogib. O
html O
NEWSmsk. O
com O
, O
этой O
ночью O
в O
Москве O
возник O
пожар O
и O
на O
территории O
гаражного O
комплекса O
по O
адресу O
проспект B-Avenue
Вернадского I-Avenue
, O
дом B-House
10 I-House
. O"
167,"Инцидент произошел в пятницу около 10:40 по адресу Ленинский проспект, дом 70/11.","Инцидент O
произошел O
в O
пятницу O
около O
10 O
: O
40 O
по O
адресу O
Ленинский O
проспект B-Avenue
, O
дом B-House
70/11 I-House
. O"
168,"ОАО ""Галс-Девелопмент"" и Mail.ru Group подписали накануне долгосрочный договор аренды в бизнес-центре класса ""А"" SkyLight, который находится по адресу Ленинградский проспект, д.39.","ОАО O
"" O
Галс-Девелопмент O
"" O
и O
Mail. O
ru O
Group O
подписали O
накануне O
долгосрочный O
договор O
аренды O
в O
бизнес-центре O
класса O
"" O
А O
"" O
SkyLight O
, O
который O
находится O
по O
адресу O
Ленинградский O
проспект B-Avenue
, O
д. B-House
39 I-House
. O"
169,"Поведавший изданию о необычной ситуации петербуржец в декабре 2010 года пришел на осмотр квартиры 24-этажного дома по адресу: Комендантский проспект, д.53, к.4.","Поведавший O
изданию O
о O
необычной O
ситуации O
петербуржец O
в O
декабре O
2010 O
года O
пришел O
на O
осмотр O
квартиры O
24 O
- O
этажного O
дома O
по O
адресу O
: O
Комендантский O
проспект B-Avenue
, O
д. B-House
53 I-House
, O
к. B-Building
4 I-Building
. O"
170,"Провести работы по покосу и убрать скошенную траву предписано по адресу улица Вторая, (вдоль проезда), улица Центральная, дом 2А, дом 20, на улице Соединительная.","Провести O
работы O
по O
покосу O
и O
убрать O
скошенную O
траву O
предписано O
по O
адресу O
улица B-Street
Вторая I-Street
, O
( O
вдоль O
проезда O
) O
, O
улица B-Street
Центральная I-Street
, O
дом B-House
2А I-House
, O
дом B-House
20 I-House
, O
на O
улице O
Соединительная O
. O"
171,"Так, по адресу Коломяжский проспект, дом N15, корпус 2 загорелся жилой дом.","Так O
, O
по O
адресу O
Коломяжский O
проспект B-Avenue
, O
дом O
N O
15 O
, O
корпус B-Building
2 I-Building
загорелся I-Building
жилой I-Building
дом. I-Building"
172,"«Достигнуты договоренности между управляющей компанией и силовиками о ремонте квартир, пострадавших в ходе спецоперации ФСБ в доме по адресу Ленинский проспект, 92, корп.","« O
Достигнуты O
договоренности O
между O
управляющей O
компанией O
и O
силовиками O
о O
ремонте O
квартир O
, O
пострадавших O
в O
ходе O
спецоперации O
ФСБ O
в O
доме O
по O
адресу O
Ленинский O
проспект B-Avenue
, O
92 O
, O
корп. B-Building"
173,"Как стало известно изданию, утром 20 ноября к отделению банка по адресу Новочеркасский проспект, дом N33 подъехал курьерский автомобиль марки Volkswagen Caddy.","Как O
стало O
известно O
изданию O
, O
утром O
20 O
ноября O
к B-Building
отделению I-Building
банка I-Building
по I-Building
адресу I-Building
Новочеркасский O
проспект B-Avenue
, O
дом O
N O
33 O
подъехал O
курьерский O
автомобиль O
марки O
Volkswagen O
Caddy. O"
174,"Памятная доска появилась по адресу: Протопоповский переулок, дом 8, близ метро «Проспект мира», где жил крупнейший кинодеятель страны.","Памятная O
доска O
появилась O
по O
адресу O
: O
Протопоповский O
переулок B-Lane
, O
дом B-House
8 I-House
, O
близ O
метро O
« O
Проспект B-Avenue
мира I-Avenue
» O
, O
где O
жил O
крупнейший O
кинодеятель O
страны. O"
175,"по адресу Хорошевское шоссе, владение 38а.","по O
адресу O
Хорошевское O
шоссе B-Highway
, O
владение O
38а O
. O"
176,"Второй утвержденный проект «Интеко» - это жилой комплекс по адресу Мичуринский проспект, д.1 общей площадью 120 тыс.","Второй O
утвержденный O
проект O
« O
Интеко O
» O
- O
это O
жилой O
комплекс O
по O
адресу O
Мичуринский O
проспект B-Avenue
, O
д. B-House
1 I-House
общей I-House
площадью I-House
120 I-House
тыс. O"
177,"«Завершился первый этап закрытого архитектурно-градостроительного конкурса на разработку архитектурной концепции строительства комплекса зданий для обеспечения высших судебных органов в городе Санкт-Петербурге по адресу: проспект Добролюбова, дом 14.","« O
Завершился O
первый O
этап O
закрытого O
архитектурно-градостроительного O
конкурса O
на O
разработку O
архитектурной O
концепции O
строительства O
комплекса O
зданий O
для O
обеспечения O
высших O
судебных O
органов O
в O
городе O
Санкт-Петербурге O
по O
адресу O
: O
проспект B-Avenue
Добролюбова I-Avenue
, O
дом B-House
14 I-House
. O"
178,"Первый закрытый конкурс решено провести на проектно-изыскательские работы стартовой стоимостью 1,2 миллиарда рублей по реконструкции объекта под абстрактным названием ""Основная площадка строительства"" по адресу: Санкт-Петербург, проспект Добролюбова, д.14.","Первый O
закрытый O
конкурс O
решено O
провести O
на O
проектно-изыскательские O
работы O
стартовой O
стоимостью O
1 O
, O
2 O
миллиарда O
рублей O
по O
реконструкции O
объекта O
под O
абстрактным O
названием O
"" O
Основная O
площадка O
строительства O
"" O
по O
адресу O
: O
Санкт-Петербург O
, O
проспект B-Avenue
Добролюбова I-Avenue
, O
д. B-House
14 I-House
. O"
179,"«Днем в воскресенье от очевидцев поступило заявление о стрельбе около кафе «Чайхона» по адресу: улица Удальцова, дом 26, корпус 1», - сообщил собеседник агентства.","« O
Днем O
в O
воскресенье O
от O
очевидцев O
поступило O
заявление O
о O
стрельбе O
около O
кафе O
« O
Чайхона O
» O
по O
адресу O
: O
улица B-Street
Удальцова I-Street
, O
дом B-House
26 I-House
, O
корпус B-Building
1 I-Building
» O
, O
- O
сообщил O
собеседник O
агентства. O"
180,"Распоряжение правительства Москвы №1816-РП о проведении аукциона, на который будет выставлено право аренды участка по адресу Ленинский проспект, вл.","Распоряжение O
правительства O
Москвы O
№ O
1816 O
- O
РП O
о O
проведении O
аукциона O
, O
на O
который O
будет O
выставлено O
право O
аренды O
участка O
по O
адресу O
Ленинский O
проспект B-Avenue
, O
вл. O"
181,"При этом его «для секретности» прописали в общежитии РГГУ по адресу улица Кировоградская, дом 25, корпус 1.","При O
этом O
его O
« O
для O
секретности O
» O
прописали O
в O
общежитии O
РГГУ O
по O
адресу O
улица B-Street
Кировоградская I-Street
, O
дом B-House
25 I-House
, O
корпус B-Building
1 I-Building
. O"
182,"Инцидент произошел около 1:15 в пятницу в суши-баре ""Сакэ"", расположенном по адресу Кутузовский проспект, дом 5/3.","Инцидент O
произошел O
около O
1 O
: O
15 O
в O
пятницу O
в O
суши-баре O
"" O
Сакэ O
"" O
, O
расположенном O
по O
адресу O
Кутузовский O
проспект B-Avenue
, O
дом B-House
5/3 I-House
. O"
183,"«Участок по адресу Ленинградский проспект, владение 39, о котором идет речь в заявлениях протеста, муссируемых последние дни некоторыми СМИ, не относится к территории Ходынского поля, а его расположение в глубине нежилого квартала представляется более целесообразным, чем предыдущее местонахождение», - отметил М.","« O
Участок O
по O
адресу O
Ленинградский O
проспект B-Avenue
, O
владение O
39 O
, O
о O
котором O
идет O
речь O
в O
заявлениях O
протеста O
, O
муссируемых O
последние O
дни O
некоторыми O
СМИ O
, O
не O
относится O
к B-Building
территории I-Building
Ходынского I-Building
поля I-Building
, O
а O
его O
расположение O
в O
глубине O
нежилого O
квартала O
представляется O
более O
целесообразным O
, O
чем O
предыдущее O
местонахождение O
» O
, O
- O
отметил O
М. O"
184,"В 9:23 11 декабря в милицию по телефону поступило сообщение от сотрудника ЛДПР о том, что в Москве в офис ЛДПР ворвался вооруженный ножом мужчина и закрылся вместе со своей семьей в партийном помещении в районе Чистых прудов по адресу: Луков переулок, дом 9.","В O
9 O
: O
23 O
11 O
декабря O
в O
милицию O
по O
телефону O
поступило O
сообщение O
от O
сотрудника O
ЛДПР O
о O
том O
, O
что O
в O
Москве O
в O
офис O
ЛДПР O
ворвался O
вооруженный O
ножом O
мужчина O
и O
закрылся O
вместе O
со O
своей O
семьей O
в O
партийном O
помещении O
в B-District
районе I-District
Чистых O
прудов O
по O
адресу O
: O
Луков O
переулок B-Lane
, O
дом B-House
9 I-House
. O"
185,"Один человек также пострадал в четверг при разбойном нападении на ювелирный салон, расположенный по адресу Волгоградский проспект, дом 76, корпус 1.","Один O
человек O
также O
пострадал O
в O
четверг O
при O
разбойном O
нападении O
на O
ювелирный O
салон O
, O
расположенный O
по O
адресу O
Волгоградский O
проспект B-Avenue
, O
дом B-House
76 I-House
, O
корпус B-Building
1 I-Building
. O"
186,"При этом они пояснили, что речь идет о 14-этажном здании, расположенном по адресу Ленинский проспект, дом 1/2 корпус 1.","При O
этом O
они O
пояснили O
, O
что O
речь O
идет O
о O
14 O
- O
этажном O
здании O
, O
расположенном O
по O
адресу O
Ленинский O
проспект B-Avenue
, O
дом B-House
1/2 I-House
корпус I-House
1 I-House
. O"
187,"Касьянов подписал распоряжение о передаче институту Жириновского в безвозмездное пользование здания по адресу 1-й Басманный переулок, д.","Касьянов O
подписал O
распоряжение O
о O
передаче O
институту O
Жириновского O
в O
безвозмездное O
пользование O
здания O
по O
адресу O
1 O
- O
й O
Басманный O
переулок B-Lane
, O
д. O"
