"text","annotations"
"Склад: Ненецкий автономный округ, Сургут, шоссе Энтузиастов, д. 142В, строении А, сооружении 7.","Склад O
: O
Ненецкий B-AO
автономный I-AO
округ I-AO
, O
Сургут B-City
, O
шоссе B-Highway
Энтузиастов I-Highway
, O
д. B-House
142В I-House
, O
строении B-Building
А I-Building
, O
сооружении B-Structure
7 I-Structure
. O"
"Встретимся на набережная Оби в Санкт-Петербург.","Встретимся O
на O
набережная B-Embankment
Оби I-Embankment
в O
Санкт-Петербург B-City
. O"
"Живу в микрорайоне Центральный, Великий Новгород, улице Навагинская, д. 124.","Живу O
в O
микрорайоне B-Microdistrict
Центральный I-Microdistrict
, O
Великий B-City
Новгород I-City
, O
улице B-Street
Навагинская I-Street
, O
д. B-House
124 I-House
. O"
"Квартира квартире 129 находится по адресу: Тюмень, переулке Северный, дом 35.","Квартира O
квартире B-Flat
129 I-Flat
находится O
по O
адресу O
: O
Тюмень B-City
, O
переулке B-Lane
Северный I-Lane
, O
дом B-House
35 I-House
. O"
"Наш офис в муниципальное образование Центральный, городе Тверь, проспекте Октября, доме 77.","Наш O
офис O
в O
муниципальное B-Municipality
образование I-Municipality
Центральный I-Municipality
, O
городе B-City
Тверь I-City
, O
проспекте B-Avenue
Октября I-Avenue
, O
доме B-House
77 I-House
. O"
"Мы находимся в РФ, Свердловская область, Великий Новгород.","Мы O
находимся O
в O
РФ B-Country
, O
Свердловская B-Oblast
область I-Oblast
, O
Великий B-City
Новгород I-City
. O"
"Отправь письмо: Российская Федерация, Эл, Фрунзенский район, село Ключи, улице Полевая, д. 210.","Отправь O
письмо O
: O
Российская B-Country
Федерация I-Country
, O
Эл B-Republic
, O
Фрунзенский B-District
район I-District
, O
село B-Selo
Ключи I-Selo
, O
улице B-Street
Полевая I-Street
, O
д. B-House
210 I-House
. O"
"Я живу в Тула, мкр Южный, квартал 47.","Я O
живу O
в O
Тула B-City
, O
мкр B-Microdistrict
Южный I-Microdistrict
, O
квартал B-Quarter
47 I-Quarter
. O"
"Адрес: Самара, улица Речная, д 173, стр А, кв 79.","Адрес O
: O
Самара B-City
, O
улица B-Street
Речная I-Street
, O
д B-House
173 I-House
, O
стр B-Building
А I-Building
, O
кв B-Flat
79 I-Flat
. O"
"Точка на карте: Сочи, улице Октябрьская, д 137, сооружении А.","Точка O
на O
карте O
: O
Сочи B-City
, O
улице B-Street
Октябрьская I-Street
, O
д B-House
137 I-House
, O
сооружении B-Structure
А I-Structure
. O"
"Адрес: Омская область, Калуга, улица Кирова, доме 169.","Адрес O
: O
Омская B-Oblast
область I-Oblast
, O
Калуга B-City
, O
улица B-Street
Кирова I-Street
, O
доме B-House
169 I-House
. O"
"Доставка по адресу: Пермский край, Великий Новгород, проспекте Октября, дом 3А, кв 383.","Доставка O
по O
адресу O
: O
Пермский B-Krai
край I-Krai
, O
Великий B-City
Новгород I-City
, O
проспекте B-Avenue
Октября I-Avenue
, O
дом B-House
3А I-House
, O
кв B-Flat
383 I-Flat
. O"
"Мы переехали в Карелия, в Санкт-Петербург, бульваре Юности, доме 89.","Мы O
переехали O
в O
Карелия B-Republic
, O
в O
Санкт-Петербург B-City
, O
бульваре B-Boulevard
Юности I-Boulevard
, O
доме B-House
89 I-House
. O"
"Я родился в деревня Поляны, в Октябрьский район, Ростовская область.","Я O
родился O
в O
деревня B-Village
Поляны I-Village
, O
в O
Октябрьский B-District
район I-District
, O
Ростовская B-Oblast
область I-Oblast
. O"
"Поеду в поселок Северный, Советский район, Приморский край.","Поеду O
в O
поселок B-Poselok
Северный I-Poselok
, O
Советский B-District
район I-District
, O
Приморский B-Krai
край I-Krai
. O"
"Склад: Чукотский автономный округ, городе Пермь, шоссе Ленинградское, дом 113, строении А, сооружение А.","Склад O
: O
Чукотский B-AO
автономный I-AO
округ I-AO
, O
городе B-City
Пермь I-City
, O
шоссе B-Highway
Ленинградское I-Highway
, O
дом B-House
113 I-House
, O
строении B-Building
А I-Building
, O
сооружение B-Structure
А I-Structure
. O"
"Встретимся на набережная Дона в Ростов-на-Дону.","Встретимся O
на O
набережная B-Embankment
Дона I-Embankment
в O
Ростов-на-Дону B-City
. O"
"Живу в мкр Южный, город Самара, улица Зелёная, доме 164.","Живу O
в O
мкр B-Microdistrict
Южный I-Microdistrict
, O
город B-City
Самара I-City
, O
улица B-Street
Зелёная I-Street
, O
доме B-House
164 I-House
. O"
"Квартира квартире 15 находится по адресу: Самара, переулке Берёзовый, дом 181Б.","Квартира O
квартире B-Flat
15 I-Flat
находится O
по O
адресу O
: O
Самара B-City
, O
переулке B-Lane
Берёзовый I-Lane
, O
дом B-House
181Б I-House
. O"
"Наш офис в муниципальное образование Сириус, Саратов, проспекте Мира, д. 51.","Наш O
офис O
в O
муниципальное B-Municipality
образование I-Municipality
Сириус I-Municipality
, O
Саратов B-City
, O
проспекте B-Avenue
Мира I-Avenue
, O
д. B-House
51 I-House
. O"
"Мы находимся в Российская Федерация, Волгоградская область, Калуга.","Мы O
находимся O
в O
Российская B-Country
Федерация I-Country
, O
Волгоградская B-Oblast
область I-Oblast
, O
Калуга B-City
. O"
"Отправь письмо: Российская Федерация, Карелия, Железнодорожный район, село Ключи, улице Новая, д 159В.","Отправь O
письмо O
: O
Российская B-Country
Федерация I-Country
, O
Карелия B-Republic
, O
Железнодорожный B-District
район I-District
, O
село B-Selo
Ключи I-Selo
, O
улице B-Street
Новая I-Street
, O
д B-House
159В I-House
. O"
"Я живу в Набережные Челны, мкр Северный, квартал 21.","Я O
живу O
в O
Набережные B-City
Челны I-City
, O
мкр B-Microdistrict
Северный I-Microdistrict
, O
квартал B-Quarter
21 I-Quarter
. O"
"Адрес: городе Ростов-на-Дону, улица Пушкина, д 108, стр 7, квартире 326.","Адрес O
: O
городе B-City
Ростов-на-Дону I-City
, O
улица B-Street
Пушкина I-Street
, O
д B-House
108 I-House
, O
стр B-Building
7 I-Building
, O
квартире B-Flat
326 I-Flat
. O"
"Точка на карте: Уфа, улица Энергетиков, д 74Б, сооружении А.","Точка O
на O
карте O
: O
Уфа B-City
, O
улица B-Street
Энергетиков I-Street
, O
д B-House
74Б I-House
, O
сооружении B-Structure
А I-Structure
. O"
"Адрес: Московская область, Великий Новгород, улице Энергетиков, д 176.","Адрес O
: O
Московская B-Oblast
область I-Oblast
, O
Великий B-City
Новгород I-City
, O
улице B-Street
Энергетиков I-Street
, O
д B-House
176 I-House
. O"
"Доставка по адресу: Забайкальский край, Нижний Новгород, проспекте Победы, дом 71Б, квартира 400.","Доставка O
по O
адресу O
: O
Забайкальский B-Krai
край I-Krai
, O
Нижний B-City
Новгород I-City
, O
проспекте B-Avenue
Победы I-Avenue
, O
дом B-House
71Б I-House
, O
квартира B-Flat
400 I-Flat
. O"
"Мы переехали в Эл, в Пермь, бульвар Цветочный, д. 199.","Мы O
переехали O
в O
Эл B-Republic
, O
в O
Пермь B-City
, O
бульвар B-Boulevard
Цветочный I-Boulevard
, O
д. B-House
199 I-House
. O"
"Я родился в деревни Сосновка, в Центральный район, Калужская область.","Я O
родился O
в O
деревни B-Village
Сосновка I-Village
, O
в O
Центральный B-District
район I-District
, O
Калужская B-Oblast
область I-Oblast
. O"
"Поеду в поселке Горный, Железнодорожный район, Ставропольский край.","Поеду O
в O
поселке B-Poselok
Горный I-Poselok
, O
Железнодорожный B-District
район I-District
, O
Ставропольский B-Krai
край I-Krai
. O"
"Склад: Ямало-Ненецкий автономный округ, городе Самара, шоссе Ленинградское, д 222, строение В, сооружении 3.","Склад O
: O
Ямало-Ненецкий B-AO
автономный I-AO
округ I-AO
, O
городе B-City
Самара I-City
, O
шоссе B-Highway
Ленинградское I-Highway
, O
д B-House
222 I-House
, O
строение B-Building
В I-Building
, O
сооружении B-Structure
3 I-Structure
. O"
"Встретимся на набережная Енисея в Воронеж.","Встретимся O
на O
набережная B-Embankment
Енисея I-Embankment
в O
Воронеж B-City
. O"
"Живу в мкр Солнечный, города Тверь, улице Речная, д. 244.","Живу O
в O
мкр B-Microdistrict
Солнечный I-Microdistrict
, O
города B-City
Тверь I-City
, O
улице B-Street
Речная I-Street
, O
д. B-House
244 I-House
. O"
"Квартира кв 418 находится по адресу: город Химки, переулок Южный, доме 64Б.","Квартира O
кв B-Flat
418 I-Flat
находится O
по O
адресу O
: O
город B-City
Химки I-City
, O
переулок B-Lane
Южный I-Lane
, O
доме B-House
64Б I-House
. O"
"Наш офис в муниципальное образование Академический, Тюмень, проспекте Мира, д 97.","Наш O
офис O
в O
муниципальное B-Municipality
образование I-Municipality
Академический I-Municipality
, O
Тюмень B-City
, O
проспекте B-Avenue
Мира I-Avenue
, O
д B-House
97 I-House
. O"
"Мы находимся в РФ, Калужская область, Набережные Челны.","Мы O
находимся O
в O
РФ B-Country
, O
Калужская B-Oblast
область I-Oblast
, O
Набережные B-City
Челны I-City
. O"
"Отправь письмо: РФ, Крым, Первомайский район, селе Лесное, улица Полевая, дом 188.","Отправь O
письмо O
: O
РФ B-Country
, O
Крым B-Republic
, O
Первомайский B-District
район I-District
, O
селе B-Selo
Лесное I-Selo
, O
улица B-Street
Полевая I-Street
, O
дом B-House
188 I-House
. O"
"Я живу в Сочи, микрорайон Лесной, квартале 14.","Я O
живу O
в O
Сочи B-City
, O
микрорайон B-Microdistrict
Лесной I-Microdistrict
, O
квартале B-Quarter
14 I-Quarter
. O"
"Адрес: Санкт-Петербург, улица Полевая, д 202, стр 1, кв 402.","Адрес O
: O
Санкт-Петербург B-City
, O
улица B-Street
Полевая I-Street
, O
д B-House
202 I-House
, O
стр B-Building
1 I-Building
, O
кв B-Flat
402 I-Flat
. O"
"Точка на карте: Ростов-на-Дону, улице Октябрьская, дом 246, сооружение А.","Точка O
на O
карте O
: O
Ростов-на-Дону B-City
, O
улице B-Street
Октябрьская I-Street
, O
дом B-House
246 I-House
, O
сооружение B-Structure
А I-Structure
. O"
"Адрес: Ленинградская область, Санкт-Петербург, улица Комсомольская, дом 102.","Адрес O
: O
Ленинградская B-Oblast
область I-Oblast
, O
Санкт-Петербург B-City
, O
улица B-Street
Комсомольская I-Street
, O
дом B-House
102 I-House
. O"
"Доставка по адресу: Алтайский край, Нижний Новгород, проспект Невский, д 20А, кв 349.","Доставка O
по O
адресу O
: O
Алтайский B-Krai
край I-Krai
, O
Нижний B-City
Новгород I-City
, O
проспект B-Avenue
Невский I-Avenue
, O
д B-House
20А I-House
, O
кв B-Flat
349 I-Flat
. O"
"Мы переехали в Татарстан, в Химки, бульваре Сиреневый, дом 59.","Мы O
переехали O
в O
Татарстан B-Republic
, O
в O
Химки B-City
, O
бульваре B-Boulevard
Сиреневый I-Boulevard
, O
дом B-House
59 I-House
. O"
"Я родился в деревня Березовка, в Первомайский район, Самарская область.","Я O
родился O
в O
деревня B-Village
Березовка I-Village
, O
в O
Первомайский B-District
район I-District
, O
Самарская B-Oblast
область I-Oblast
. O"
"Поеду в поселке Прибрежный, Железнодорожный район, Пермский край.","Поеду O
в O
поселке B-Poselok
Прибрежный I-Poselok
, O
Железнодорожный B-District
район I-District
, O
Пермский B-Krai
край I-Krai
. O"
"Склад: Ямало-Ненецкий автономный округ, города Иркутск, шоссе Каширское, д. 185В, строение В, сооружение 2.","Склад O
: O
Ямало-Ненецкий B-AO
автономный I-AO
округ I-AO
, O
города B-City
Иркутск I-City
, O
шоссе B-Highway
Каширское I-Highway
, O
д. B-House
185В I-House
, O
строение B-Building
В I-Building
, O
сооружение B-Structure
2 I-Structure
. O"
"Встретимся на набережная Енисея в Химки.","Встретимся O
на O
набережная B-Embankment
Енисея I-Embankment
в O
Химки B-City
. O"
"Живу в микрорайон Солнечный, города Псков, улице Красная, дом 218.","Живу O
в O
микрорайон B-Microdistrict
Солнечный I-Microdistrict
, O
города B-City
Псков I-City
, O
улице B-Street
Красная I-Street
, O
дом B-House
218 I-House
. O"
"Квартира квартире 106 находится по адресу: Владивосток, переулок Южный, доме 127.","Квартира O
квартире B-Flat
106 I-Flat
находится O
по O
адресу O
: O
Владивосток B-City
, O
переулок B-Lane
Южный I-Lane
, O
доме B-House
127 I-House
. O"
"Наш офис в муниципальное образование Академический, Пермь, проспекте Невский, д. 34.","Наш O
офис O
в O
муниципальное B-Municipality
образование I-Municipality
Академический I-Municipality
, O
Пермь B-City
, O
проспекте B-Avenue
Невский I-Avenue
, O
д. B-House
34 I-House
. O"
"Мы находимся в РФ, Ростовская область, Тюмень.","Мы O
находимся O
в O
РФ B-Country
, O
Ростовская B-Oblast
область I-Oblast
, O
Тюмень B-City
. O"
"Отправь письмо: Россия, Марий Эл, Центральный район, село Никольское, улица Ленина, д 130.","Отправь O
письмо O
: O
Россия B-Country
, O
Марий B-Republic
Эл I-Republic
, O
Центральный B-District
район I-District
, O
село B-Selo
Никольское I-Selo
, O
улица B-Street
Ленина I-Street
, O
д B-House
130 I-House
. O"
"Я живу в Химки, микрорайон Лесной, квартал 18.","Я O
живу O
в O
Химки B-City
, O
микрорайон B-Microdistrict
Лесной I-Microdistrict
, O
квартал B-Quarter
18 I-Quarter
. O"
"Адрес: город Ростов-на-Дону, улице Энергетиков, д 151, стр Б, кв 489.","Адрес O
: O
город B-City
Ростов-на-Дону I-City
, O
улице B-Street
Энергетиков I-Street
, O
д B-House
151 I-House
, O
стр B-Building
Б I-Building
, O
кв B-Flat
489 I-Flat
. O"
"Точка на карте: Нижний Новгород, улица Парковая, д 157, сооружении 3.","Точка O
на O
карте O
: O
Нижний B-City
Новгород I-City
, O
улица B-Street
Парковая I-Street
, O
д B-House
157 I-House
, O
сооружении B-Structure
3 I-Structure
. O"
"Адрес: Омская область, городе Великий Новгород, улице Космонавтов, доме 96Б.","Адрес O
: O
Омская B-Oblast
область I-Oblast
, O
городе B-City
Великий I-City
Новгород I-City
, O
улице B-Street
Космонавтов I-Street
, O
доме B-House
96Б I-House
. O"
"Доставка по адресу: Ставропольский край, Великий Новгород, проспект Космонавтов, д. 183, кв 40.","Доставка O
по O
адресу O
: O
Ставропольский B-Krai
край I-Krai
, O
Великий B-City
Новгород I-City
, O
проспект B-Avenue
Космонавтов I-Avenue
, O
д. B-House
183 I-House
, O
кв B-Flat
40 I-Flat
. O"
"Мы переехали в Хакасия, в Воронеж, бульваре Сиреневый, доме 66.","Мы O
переехали O
в O
Хакасия B-Republic
, O
в O
Воронеж B-City
, O
бульваре B-Boulevard
Сиреневый I-Boulevard
, O
доме B-House
66 I-House
. O"
"Я родился в деревни Новоалександровка, в Ленинский район, Свердловская область.","Я O
родился O
в O
деревни B-Village
Новоалександровка I-Village
, O
в O
Ленинский B-District
район I-District
, O
Свердловская B-Oblast
область I-Oblast
. O"
"Поеду в поселок Озерный, Центральный район, Краснодарский край.","Поеду O
в O
поселок B-Poselok
Озерный I-Poselok
, O
Центральный B-District
район I-District
, O
Краснодарский B-Krai
край I-Krai
. O"
"Склад: Ямало-Ненецкий автономный округ, город Омск, шоссе Энтузиастов, доме 83В, строении А, сооружение 9.","Склад O
: O
Ямало-Ненецкий B-AO
автономный I-AO
округ I-AO
, O
город B-City
Омск I-City
, O
шоссе B-Highway
Энтузиастов I-Highway
, O
доме B-House
83В I-House
, O
строении B-Building
А I-Building
, O
сооружение B-Structure
9 I-Structure
. O"
"Встретимся на набережная Невы в Владивосток.","Встретимся O
на O
набережная B-Embankment
Невы I-Embankment
в O
Владивосток B-City
. O"
"Живу в микрорайоне Северный, Ижевск, улица Полевая, д 3.","Живу O
в O
микрорайоне B-Microdistrict
Северный I-Microdistrict
, O
Ижевск B-City
, O
улица B-Street
Полевая I-Street
, O
д B-House
3 I-House
. O"
"Квартира квартире 289 находится по адресу: Псков, переулке Речной, д 198.","Квартира O
квартире B-Flat
289 I-Flat
находится O
по O
адресу O
: O
Псков B-City
, O
переулке B-Lane
Речной I-Lane
, O
д B-House
198 I-House
. O"
"Наш офис в муниципальное образование Академический, город Москва, проспекте Науки, дом 244.","Наш O
офис O
в O
муниципальное B-Municipality
образование I-Municipality
Академический I-Municipality
, O
город B-City
Москва I-City
, O
проспекте B-Avenue
Науки I-Avenue
, O
дом B-House
244 I-House
. O"
"Мы находимся в РФ, Ростовская область, Сургут.","Мы O
находимся O
в O
РФ B-Country
, O
Ростовская B-Oblast
область I-Oblast
, O
Сургут B-City
. O"
"Отправь письмо: Россия, Удмуртия, Железнодорожный район, село Лесное, улице Гагарина, дом 12.","Отправь O
письмо O
: O
Россия B-Country
, O
Удмуртия B-Republic
, O
Железнодорожный B-District
район I-District
, O
село B-Selo
Лесное I-Selo
, O
улице B-Street
Гагарина I-Street
, O
дом B-House
12 I-House
. O"
"Я живу в Киров, мкр Новый, квартал 38.","Я O
живу O
в O
Киров B-City
, O
мкр B-Microdistrict
Новый I-Microdistrict
, O
квартал B-Quarter
38 I-Quarter
. O"
"Адрес: город Великий Новгород, улица 50-летия Октября, д 170, строение Б, квартире 359.","Адрес O
: O
город B-City
Великий I-City
Новгород I-City
, O
улица B-Street
50-летия I-Street
Октября I-Street
, O
д B-House
170 I-House
, O
строение B-Building
Б I-Building
, O
квартире B-Flat
359 I-Flat
. O"
"Точка на карте: Великий Новгород, улица Навагинская, дом 242В, сооружение 3.","Точка O
на O
карте O
: O
Великий B-City
Новгород I-City
, O
улица B-Street
Навагинская I-Street
, O
дом B-House
242В I-House
, O
сооружение B-Structure
3 I-Structure
. O"
"Адрес: Нижегородская область, Саратов, улица Новая, д 79.","Адрес O
: O
Нижегородская B-Oblast
область I-Oblast
, O
Саратов B-City
, O
улица B-Street
Новая I-Street
, O
д B-House
79 I-House
. O"
"Доставка по адресу: Ставропольский край, города Ижевск, проспект Невский, д. 38А, квартире 203.","Доставка O
по O
адресу O
: O
Ставропольский B-Krai
край I-Krai
, O
города B-City
Ижевск I-City
, O
проспект B-Avenue
Невский I-Avenue
, O
д. B-House
38А I-House
, O
квартире B-Flat
203 I-Flat
. O"
"Мы переехали в Марий, в город Уфа, бульваре Юности, доме 25.","Мы O
переехали O
в O
Марий B-Republic
, O
в O
город B-City
Уфа I-City
, O
бульваре B-Boulevard
Юности I-Boulevard
, O
доме B-House
25 I-House
. O"
"Я родился в деревня Горки, в Центральный район, Московская область.","Я O
родился O
в O
деревня B-Village
Горки I-Village
, O
в O
Центральный B-District
район I-District
, O
Московская B-Oblast
область I-Oblast
. O"
"Поеду в поселке Молодежный, Кировский район, Хабаровский край.","Поеду O
в O
поселке B-Poselok
Молодежный I-Poselok
, O
Кировский B-District
район I-District
, O
Хабаровский B-Krai
край I-Krai
. O"
"Склад: Чукотский автономный округ, Сочи, шоссе Симферопольское, дом 6, строение 8, сооружении А.","Склад O
: O
Чукотский B-AO
автономный I-AO
округ I-AO
, O
Сочи B-City
, O
шоссе B-Highway
Симферопольское I-Highway
, O
дом B-House
6 I-House
, O
строение B-Building
8 I-Building
, O
сооружении B-Structure
А I-Structure
. O"
"Встретимся на набережная Речной в Владивосток.","Встретимся O
на O
набережная B-Embankment
Речной I-Embankment
в O
Владивосток B-City
. O"
"Живу в микрорайон Новый, Киров, улица Советская, д. 72.","Живу O
в O
микрорайон B-Microdistrict
Новый I-Microdistrict
, O
Киров B-City
, O
улица B-Street
Советская I-Street
, O
д. B-House
72 I-House
. O"
"Квартира квартира 18 находится по адресу: Калуга, переулке Южный, д 226.","Квартира O
квартира B-Flat
18 I-Flat
находится O
по O
адресу O
: O
Калуга B-City
, O
переулке B-Lane
Южный I-Lane
, O
д B-House
226 I-House
. O"
"Наш офис в муниципальное образование Сириус, город Химки, проспект Науки, дом 98.","Наш O
офис O
в O
муниципальное B-Municipality
образование I-Municipality
Сириус I-Municipality
, O
город B-City
Химки I-City
, O
проспект B-Avenue
Науки I-Avenue
, O
дом B-House
98 I-House
. O"
"Мы находимся в Российская Федерация, Нижегородская область, Воронеж.","Мы O
находимся O
в O
Российская B-Country
Федерация I-Country
, O
Нижегородская B-Oblast
область I-Oblast
, O
Воронеж B-City
. O"
"Отправь письмо: РФ, Чувашия, Советский район, селе Ивановка, улица Красная, дом 230.","Отправь O
письмо O
: O
РФ B-Country
, O
Чувашия B-Republic
, O
Советский B-District
район I-District
, O
селе B-Selo
Ивановка I-Selo
, O
улица B-Street
Красная I-Street
, O
дом B-House
230 I-House
. O"
"Я живу в города Тюмень, мкр Солнечный, квартал 11.","Я O
живу O
в O
города B-City
Тюмень I-City
, O
мкр B-Microdistrict
Солнечный I-Microdistrict
, O
квартал B-Quarter
11 I-Quarter
. O"
"Адрес: города Томск, улица Ленина, д 91, строение А, кв 358.","Адрес O
: O
города B-City
Томск I-City
, O
улица B-Street
Ленина I-Street
, O
д B-House
91 I-House
, O
строение B-Building
А I-Building
, O
кв B-Flat
358 I-Flat
. O"
"Точка на карте: Киров, улица 50-летия Октября, доме 215, сооружении 9.","Точка O
на O
карте O
: O
Киров B-City
, O
улица B-Street
50-летия I-Street
Октября I-Street
, O
доме B-House
215 I-House
, O
сооружении B-Structure
9 I-Structure
. O"
"Адрес: Нижегородская область, город Набережные Челны, улице Победы, дом 85.","Адрес O
: O
Нижегородская B-Oblast
область I-Oblast
, O
город B-City
Набережные I-City
Челны I-City
, O
улице B-Street
Победы I-Street
, O
дом B-House
85 I-House
. O"
"Доставка по адресу: Алтайский край, Ростов-на-Дону, проспект Октября, дом 38, квартира 397.","Доставка O
по O
адресу O
: O
Алтайский B-Krai
край I-Krai
, O
Ростов-на-Дону B-City
, O
проспект B-Avenue
Октября I-Avenue
, O
дом B-House
38 I-House
, O
квартира B-Flat
397 I-Flat
. O"
"Мы переехали в Марий Эл, в Курск, бульвар Юности, д. 78.","Мы O
переехали O
в O
Марий B-Republic
Эл I-Republic
, O
в O
Курск B-City
, O
бульвар B-Boulevard
Юности I-Boulevard
, O
д. B-House
78 I-House
. O"
"Я родился в деревни Горки, в Железнодорожный район, Калужская область.","Я O
родился O
в O
деревни B-Village
Горки I-Village
, O
в O
Железнодорожный B-District
район I-District
, O
Калужская B-Oblast
область I-Oblast
. O"
"Поеду в посёлок Горный, Советский район, Красноярский край.","Поеду O
в O
посёлок B-Poselok
Горный I-Poselok
, O
Советский B-District
район I-District
, O
Красноярский B-Krai
край I-Krai
. O"
"Склад: Чукотский автономный округ, городе Уфа, шоссе Ленинградское, доме 46, стр 10, сооружение 10.","Склад O
: O
Чукотский B-AO
автономный I-AO
округ I-AO
, O
городе B-City
Уфа I-City
, O
шоссе B-Highway
Ленинградское I-Highway
, O
доме B-House
46 I-House
, O
стр B-Building
10 I-Building
, O
сооружение B-Structure
10 I-Structure
. O"
"Встретимся на набережная Дона в Нижний Новгород.","Встретимся O
на O
набережная B-Embankment
Дона I-Embankment
в O
Нижний B-City
Новгород I-City
. O"
"Живу в микрорайоне Заречный, Нижний Новгород, улице Пушкина, д 3.","Живу O
в O
микрорайоне B-Microdistrict
Заречный I-Microdistrict
, O
Нижний B-City
Новгород I-City
, O
улице B-Street
Пушкина I-Street
, O
д B-House
3 I-House
. O"
"Квартира квартира 355 находится по адресу: города Нижний Новгород, переулок Школьный, д 113.","Квартира O
квартира B-Flat
355 I-Flat
находится O
по O
адресу O
: O
города B-City
Нижний I-City
Новгород I-City
, O
переулок B-Lane
Школьный I-Lane
, O
д B-House
113 I-House
. O"
"Наш офис в муниципальное образование Академический, Владивосток, проспекте Октября, дом 213.","Наш O
офис O
в O
муниципальное B-Municipality
образование I-Municipality
Академический I-Municipality
, O
Владивосток B-City
, O
проспекте B-Avenue
Октября I-Avenue
, O
дом B-House
213 I-House
. O"
"Мы находимся в РФ, Волгоградская область, Великий Новгород.","Мы O
находимся O
в O
РФ B-Country
, O
Волгоградская B-Oblast
область I-Oblast
, O
Великий B-City
Новгород I-City
. O"
"Отправь письмо: Россия, Татарстан, Октябрьский район, селе Ивановка, улица Навагинская, дом 88Б.","Отправь O
письмо O
: O
Россия B-Country
, O
Татарстан B-Republic
, O
Октябрьский B-District
район I-District
, O
селе B-Selo
Ивановка I-Selo
, O
улица B-Street
Навагинская I-Street
, O
дом B-House
88Б I-House
. O"
"Я живу в городе Нижний Новгород, мкр Новый, квартал 28.","Я O
живу O
в O
городе B-City
Нижний I-City
Новгород I-City
, O
мкр B-Microdistrict
Новый I-Microdistrict
, O
квартал B-Quarter
28 I-Quarter
. O"
"Адрес: Великий Новгород, улица Школьная, дом 85А, строении В, кв 145.","Адрес O
: O
Великий B-City
Новгород I-City
, O
улица B-Street
Школьная I-Street
, O
дом B-House
85А I-House
, O
строении B-Building
В I-Building
, O
кв B-Flat
145 I-Flat
. O"
"Точка на карте: города Великий Новгород, улице Энергетиков, доме 14, сооружении Б.","Точка O
на O
карте O
: O
города B-City
Великий I-City
Новгород I-City
, O
улице B-Street
Энергетиков I-Street
, O
доме B-House
14 I-House
, O
сооружении B-Structure
Б I-Structure
. O"
"Адрес: Свердловская область, город Санкт-Петербург, улица Чехова, д. 201.","Адрес O
: O
Свердловская B-Oblast
область I-Oblast
, O
город B-City
Санкт-Петербург I-City
, O
улица B-Street
Чехова I-Street
, O
д. B-House
201 I-House
. O"
"Доставка по адресу: Забайкальский край, Набережные Челны, проспект Славы, д. 227, квартира 229.","Доставка O
по O
адресу O
: O
Забайкальский B-Krai
край I-Krai
, O
Набережные B-City
Челны I-City
, O
проспект B-Avenue
Славы I-Avenue
, O
д. B-House
227 I-House
, O
квартира B-Flat
229 I-Flat
. O"
"Мы переехали в Марий Эл, в Санкт-Петербург, бульвар Надежд, дом 22.","Мы O
переехали O
в O
Марий B-Republic
Эл I-Republic
, O
в O
Санкт-Петербург B-City
, O
бульвар B-Boulevard
Надежд I-Boulevard
, O
дом B-House
22 I-House
. O"
"Я родился в деревне Старое, в Приморский район, Свердловская область.","Я O
родился O
в O
деревне B-Village
Старое I-Village
, O
в O
Приморский B-District
район I-District
, O
Свердловская B-Oblast
область I-Oblast
. O"
"Поеду в поселок Озерный, Железнодорожный район, Красноярский край.","Поеду O
в O
поселок B-Poselok
Озерный I-Poselok
, O
Железнодорожный B-District
район I-District
, O
Красноярский B-Krai
край I-Krai
. O"
"Склад: Ненецкий автономный округ, Тюмень, шоссе Симферопольское, д 77В, строение 9, сооружение 8.","Склад O
: O
Ненецкий B-AO
автономный I-AO
округ I-AO
, O
Тюмень B-City
, O
шоссе B-Highway
Симферопольское I-Highway
, O
д B-House
77В I-House
, O
строение B-Building
9 I-Building
, O
сооружение B-Structure
8 I-Structure
. O"
"Встретимся на набережная Невы в городе Курск.","Встретимся O
на O
набережная B-Embankment
Невы I-Embankment
в O
городе B-City
Курск I-City
. O"
"Живу в мкр Заречный, города Тверь, улица Кирова, д 143.","Живу O
в O
мкр B-Microdistrict
Заречный I-Microdistrict
, O
города B-City
Тверь I-City
, O
улица B-Street
Кирова I-Street
, O
д B-House
143 I-House
. O"
"Квартира квартире 439 находится по адресу: города Москва, переулок Берёзовый, д 39В.","Квартира O
квартире B-Flat
439 I-Flat
находится O
по O
адресу O
: O
города B-City
Москва I-City
, O
переулок B-Lane
Берёзовый I-Lane
, O
д B-House
39В I-House
. O"
"Наш офис в муниципальное образование Сириус, Сургут, проспекте Космонавтов, д 68.","Наш O
офис O
в O
муниципальное B-Municipality
образование I-Municipality
Сириус I-Municipality
, O
Сургут B-City
, O
проспекте B-Avenue
Космонавтов I-Avenue
, O
д B-House
68 I-House
. O"
"Мы находимся в Российская Федерация, Тюменская область, Санкт-Петербург.","Мы O
находимся O
в O
Российская B-Country
Федерация I-Country
, O
Тюменская B-Oblast
область I-Oblast
, O
Санкт-Петербург B-City
. O"
